;'Proc. Orig';'Placa';'Chassi';'Marca/Modelo';'Classificação';'Ano';'Despesas (GAD)';'Recolhimento com multa (elimina isenção)';'Origem';'Ano de Entrada';'Data Entrada';'Data Saída';'Tempo em depósito (dias)';'Diárias limitadas a 183 dias';' Valor da taxa da diária ';' Valor total diárias ';' Valor da Taxa de remoção ';' Valor total da GAD ';' Valor CRD (somente Diárias) ';' Valor Devido da GAD (Detran) ';'Tempo Depósito (anos)';'Valor FIPE';'Peso (Kg)';'Valor Kg X 40% (devido ao DETRAN)';' Valor Casco p/ Veículo ';'Classificação';'Valor total da GAD +  Valor Casco p/Veículo';' Valor Total Devido pelo CRD  '
46;2014004030;'IKC4665';'93FSC050K1A003756';'KASINSKI/SUPER CAB 50';'Motocicletas';;'5-A disposição da Polícia';;'1-Base Estadual';;7/1/2014;4/9/2019;2066;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';5;;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
47;2014026513;;'CRD00133RSP240214';'CRF';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;24/2/2014;4/9/2019;2018;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
48;2014121589;;'CRD00133SEM260714';'HONDA CG 125';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;26/7/2014;4/9/2019;1866;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
49;2014172506;'IJP7686';'9C2JC3010YR148774';'HONDA/CG 125 TITAN KS';'Motocicletas';2000;'0-Sem isenção';;'1-Base Estadual';;26/10/2014;4/9/2019;1774;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';4;2.607,00;80;;' 2.607,00 ';'FIPE';' 7.084,69 ';' 4.273,81 '
50;2014200453;;'JH2ME0S06LM201864';'nao tem';'veículos em geral';;'0-Sem isenção';;'5-Irregular - Incluído';;23/12/2014;4/9/2019;1716;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';'IRREG';;800;0,124;' 99,20 ';'MI';' 5.696,78 ';' 2.181,35 '
51;2015001713;;'CRD00133RSP01012015';'honda';'Motocicletas';;'0-Sem isenção';;'5-Irregular - Incluído';;1/1/2015;4/9/2019;1707;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';'IRREG';;80;0,124;' 9,92 ';'MI';' 4.487,61 ';' 1.676,73 '
52;2015088836;'IHY7864';'5E11AAC120612';'GM/CHEVETTE';'veículos em geral';1981;'0-Sem isenção';;'1-Base Estadual';;17/6/2015;4/9/2019;1540;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';4;2.222,58;800;;' 2.222,58 ';'FIPE';' 7.820,16 ';' 4.304,73 '
53;2015100987;'IIS4906';'9C2HA0700XR029003';'HONDA/C100 BIZ';'Motocicletas';1999;'0-Sem isenção';;'1-Base Estadual';;6/7/2015;4/9/2019;1521;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';4;1.841,00;80;;' 1.841,00 ';'FIPE';' 6.318,69 ';' 3.507,81 '
54;2016020804;;'CRD00133ILE180216';'HONDA/CG 125 FAN';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;18/2/2016;4/9/2019;1294;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
55;2016022180;'IFQ8469';'9C2JC250VTR043746';'HONDA/CG 125 TITAN';'Motocicletas';1996;'0-Sem isenção';;'1-Base Estadual';;23/2/2016;4/9/2019;1289;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';3;1.950,00;80;;' 1.950,00 ';'FIPE';' 6.427,69 ';' 3.616,81 '
56;2016026880;'IKV0300';'9C2JC30103R044202';'HONDA/CG 125 TITAN KS';'Motocicletas';;'0-Sem isenção';;'4-Irregular - Alterado';;4/3/2016;4/9/2019;1279;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';'IRREG';;80;0,124;' 9,92 ';'MI';' 4.487,61 ';' 1.676,73 '
57;2016105631;'IKK2255';'9C2JC30102R019917';'HONDA/CG 125 TITAN KS';'Motocicletas';2001;'0-Sem isenção';;'1-Base Estadual';;13/8/2016;4/9/2019;1117;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';3;2.690,00;80;;' 2.690,00 ';'FIPE';' 7.167,69 ';' 4.356,81 '
58;2016107363;'ISU9422';'9C2JC4110CR494799';'HONDA/CG 125 FAN KS';'Motocicletas';;'5-A disposição da Polícia';;'4-Irregular - Alterado';;17/8/2016;4/9/2019;1113;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
59;2016111094;'IPI1911';'9C2MC35008R113506';'HONDA/CBX 250 TWISTER';'Motocicletas';;'0-Sem isenção';;'4-Irregular - Alterado';;26/8/2016;4/9/2019;1104;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';'IRREG';;80;0,124;' 9,92 ';'MI';' 4.487,61 ';' 1.676,73 '
60;2016113068;;'CRD00133RSP30082016';'SUNDOWN/MAX 125';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;27/8/2016;4/9/2019;1103;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
61;2016135361;;'CRD00133ILE181016';'MOTO / ARTESANAL';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;18/10/2016;4/9/2019;1051;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
62;2016147825;;'CRD00133RSP181116';'YAMARA / 125';'Motocicletas';;;;'5-Irregular - Incluído';;18/11/2016;4/9/2019;1020;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
